T1_C,switch_density,hold_h,density_target,grain_threshold_um,T_lower_density_C,T_upper_growth_C,gap_C,lower_boundary_present,upper_boundary_present,success_band_present,finite_window_present,zero_width_or_isolated,lower_above_upper,lower_censored,upper_censored,success_count,evidence_type
1200,0.7,30,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,40,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,5,0.98,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,10,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,20,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,30,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,40,0.98,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,5,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1200,0.9,10,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1200,0.9,20,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1200,0.9,30,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1200,0.9,40,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1300,0.7,5,0.98,0.29,,1100.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,10,0.98,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,5,0.98,0.29,,1100.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.8,10,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,5,0.98,0.29,,,,False,False,False,False,False,False,True,True,0,relaxed_diagnostic
1300,0.9,10,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1300,0.9,20,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1300,0.9,30,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1300,0.9,40,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1400,0.7,5,0.98,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,10,0.98,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,5,0.98,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,10,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,5,0.98,0.29,1300.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1400,0.9,10,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1400,0.9,20,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1400,0.9,30,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1400,0.9,40,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1500,0.7,5,0.98,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,10,0.98,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,5,0.98,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,10,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,20,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,30,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,40,0.98,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,5,0.98,0.29,1300.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1500,0.9,10,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1500,0.9,20,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1500,0.9,30,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1500,0.9,40,0.98,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,relaxed_diagnostic
1200,0.7,5,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,10,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,20,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,30,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,40,0.98,0.5,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,5,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,10,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,20,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,30,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,40,0.98,0.5,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,5,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,10,0.98,0.5,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,20,0.98,0.5,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,30,0.98,0.5,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,40,0.98,0.5,,1000.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,5,0.98,0.5,,1100.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,30,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,5,0.98,0.5,,1100.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.8,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,30,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,5,0.98,0.5,,1100.0,,False,True,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.9,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,20,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,30,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,30,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,30,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,20,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,30,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,30,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,20,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,30,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,5,0.98,0.5,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,10,0.98,0.5,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,20,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,30,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,40,0.98,0.5,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1200,0.7,5,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,10,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,20,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,30,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,40,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,5,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,10,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,20,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,30,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,40,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,5,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,10,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,20,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,30,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,40,0.98,1.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,5,0.98,1.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,10,0.98,1.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.7,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.7,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,5,0.98,1.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.8,10,0.98,1.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.8,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.8,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,5,0.98,1.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.9,10,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1300,0.9,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,10,0.98,1.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.7,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,10,0.98,1.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.8,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,10,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,10,0.98,1.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.7,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,10,0.98,1.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.8,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,5,0.98,1.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,10,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,20,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,30,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,40,0.98,1.0,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1200,0.7,5,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,10,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,20,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,30,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.7,40,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,5,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,10,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,20,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,30,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.8,40,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,5,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,10,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,20,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,30,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1200,0.9,40,0.98,2.0,,1100.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,5,0.98,2.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.7,10,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.7,20,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.7,30,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.7,40,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.8,5,0.98,2.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.8,10,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.8,20,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.8,30,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.8,40,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.9,5,0.98,2.0,,1200.0,,False,False,False,False,False,False,True,False,0,relaxed_diagnostic
1300,0.9,10,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.9,20,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.9,30,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1300,0.9,40,0.98,2.0,1200.0,1200.0,0.0,True,False,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.7,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.7,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.7,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.7,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.7,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.8,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.8,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.8,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.8,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.8,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.9,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1400,0.9,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.9,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.9,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1400,0.9,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.7,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.7,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.7,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.7,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.7,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.8,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.8,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.8,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.8,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.8,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.9,5,0.98,2.0,1300.0,1200.0,-100.0,True,True,False,False,False,True,False,False,0,relaxed_diagnostic
1500,0.9,10,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.9,20,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.9,30,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
1500,0.9,40,0.98,2.0,1200.0,1200.0,0.0,True,True,False,False,True,False,False,False,1,relaxed_diagnostic
