config_id,law,m,prefactor_factor,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,initial_closed_fraction,initial_A_closed,initial_PR_memory,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,classification,strict_success,candidate_state_injected,diagnostic_only,inventory_bounded_integral
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669441989604,0.1171524440744168,1.0984925621742455e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669441989604,0.1171524440744168,1.0984925621742455e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669441989604,0.1171524440744168,1.0984925621742455e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669441989604,0.1171524440744168,1.0984925621742455e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669441989604,0.1171524440744168,1.0984925621742455e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669493812569,0.1173686157123441,2.818658182000416e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669618210046,0.1178598251630481,6.957459300041677e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966990515138,0.1189370121394057,1.6554548294644307e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999670540096388,0.1212153022345716,3.8031891116539705e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999671881106128,0.1258505545777197,8.444515227131818e-05,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999674538531916,0.134875512795164,0.0001775695166055,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679366102796,0.1515788998910769,0.0003499135360746,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725911464568,0.6290233812268876,0.0046300595011258,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
